2025-11-02 21:17:46.836 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2025.16.0-linux-x64/python-env-tools/bin/pet server
2025-11-02 21:17:49.918 [info] Discovered env: /bin/python3
2025-11-02 21:17:50.108 [info] Discovered env: /usr/bin/python3
2025-11-02 21:17:50.267 [info] Discovered env: /root/Documents/dataPipeline/venv/bin/python
2025-11-02 21:17:51.761 [info] Resolved Python Environment /root/Documents/dataPipeline/venv/bin/python
2025-11-02 21:17:54.538 [info] Locator Conda took 10.644269451s
2025-11-02 21:17:54.539 [info] Locator Homebrew took 278.269µs
2025-11-02 21:17:54.539 [info] Locator LinuxGlobal took 193.49732ms
2025-11-02 21:17:54.539 [info] Locator PipEnv took 61.246µs
2025-11-02 21:17:54.539 [info] Locator Pixi took 66.296µs
2025-11-02 21:17:54.539 [info] Locator Poetry took 206.682399ms
2025-11-02 21:17:54.539 [info] Locator PyEnv took 152.920563ms
2025-11-02 21:17:54.539 [info] Locator Venv took 61.788µs
2025-11-02 21:17:54.539 [info] Locator VirtualEnv took 185.864µs
2025-11-02 21:17:54.539 [info] Locator VirtualEnvWrapper took 89.25µs
2025-11-02 21:17:54.539 [info] Locator GlobalVirtualEnvs took 2.303964ms
2025-11-02 21:17:54.539 [info] Locator Locators took 10.646714844s
2025-11-02 21:17:54.539 [info] Locator Path took 1.145537146s
2025-11-02 21:17:54.539 [info] Locator Workspaces took 333.586317ms
2025-11-02 21:17:54.539 [info] Refresh completed in 10647ms
