2025-11-06 17:17:39.500 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2025.16.0-linux-x64/python-env-tools/bin/pet server
2025-11-06 17:17:44.044 [info] Discovered env: /usr/bin/python3
2025-11-06 17:17:44.082 [info] Discovered env: /bin/python3
2025-11-06 17:17:44.118 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 17:17:45.488 [info] Locator Conda took 13.675259419s
2025-11-06 17:17:45.489 [info] Locator Homebrew took 165.154µs
2025-11-06 17:17:45.489 [info] Locator LinuxGlobal took 146.095819ms
2025-11-06 17:17:45.489 [info] Locator PipEnv took 2.569909ms
2025-11-06 17:17:45.490 [info] Locator Pixi took 2.022979ms
2025-11-06 17:17:45.490 [info] Locator Poetry took 254.912812ms
2025-11-06 17:17:45.490 [info] Locator PyEnv took 199.831185ms
2025-11-06 17:17:45.491 [info] Locator Venv took 2.256926ms
2025-11-06 17:17:45.491 [info] Locator VirtualEnv took 123.074µs
2025-11-06 17:17:45.492 [info] Locator VirtualEnvWrapper took 2.22333ms
2025-11-06 17:17:45.492 [info] Locator GlobalVirtualEnvs took 7.882026ms
2025-11-06 17:17:45.492 [info] Locator Locators took 13.6781994s
2025-11-06 17:17:45.493 [info] Locator Path took 1.321296764s
2025-11-06 17:17:45.493 [info] Locator Workspaces took 29.28658ms
2025-11-06 17:17:45.494 [info] Refresh completed in 13678ms
2025-11-06 18:03:43.246 [info] Discovered env: /usr/bin/python3
2025-11-06 18:03:43.251 [info] Discovered env: /bin/python3
2025-11-06 18:03:43.255 [info] Resolved Python Environment /bin/python3
2025-11-06 18:03:44.740 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:04:01.237 [info] Locator Conda took 18.236324292s
2025-11-06 18:04:01.238 [info] Locator Homebrew took 946.392µs
2025-11-06 18:04:01.238 [info] Locator LinuxGlobal took 89.622166ms
2025-11-06 18:04:01.238 [info] Locator PipEnv took 1.441945ms
2025-11-06 18:04:01.239 [info] Locator Pixi took 2.238862ms
2025-11-06 18:04:01.240 [info] Locator Poetry took 254.919989ms
2025-11-06 18:04:01.240 [info] Locator PyEnv took 275.646048ms
2025-11-06 18:04:01.240 [info] Locator Venv took 119.383µs
2025-11-06 18:04:01.240 [info] Locator VirtualEnv took 77.074µs
2025-11-06 18:04:01.240 [info] Locator VirtualEnvWrapper took 130.726µs
2025-11-06 18:04:01.241 [info] Locator GlobalVirtualEnvs took 5.555859ms
2025-11-06 18:04:01.241 [info] Locator Locators took 18.24071038s
2025-11-06 18:04:01.241 [info] Locator Path took 2.209440616s
2025-11-06 18:04:01.241 [info] Locator Workspaces took 37.861213ms
2025-11-06 18:04:01.241 [info] Refresh completed in 18245ms
2025-11-06 18:05:28.038 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:06:27.225 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:06:58.531 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:17:29.439 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:24:28.483 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:25:01.259 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:33:00.947 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:33:50.718 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:36:27.816 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 18:37:01.097 [info] Resolved Python Environment /usr/bin/python3
